DATA_VALUE,TIME_COUNT,ID_LOGS,NOTE
-1,0,-1,Error on SQL Server connection
2.37,271,-1,Fallback mode
2.37,781,-1,Fallback mode
2.37,1326,-1,Fallback mode
2.37,1849,-1,Fallback mode
2.37,2368,-1,Fallback mode
2.37,2899,-1,Fallback mode
2.37,3424,-1,Fallback mode
2.37,3954,-1,Fallback mode
2.37,4482,-1,Fallback mode
2.37,5008,-1,Fallback mode
2.37,5536,-1,Fallback mode
2.37,6064,-1,Fallback mode
2.37,6593,-1,Fallback mode
2.37,7121,-1,Fallback mode
2.37,7650,-1,Fallback mode
2.37,8178,-1,Fallback mode
2.37,8707,-1,Fallback mode
2.37,9235,-1,Fallback mode
2.37,9764,-1,Fallback mode
2.37,10292,-1,Fallback mode
2.37,10821,-1,Fallback mode
2.37,11349,-1,Fallback mode
2.37,11877,-1,Fallback mode
2.37,12406,-1,Fallback mode
2.37,12934,-1,Fallback mode
2.37,13463,-1,Fallback mode
2.37,13991,-1,Fallback mode
2.37,14519,-1,Fallback mode
2.37,15048,-1,Fallback mode
2.37,15576,-1,Fallback mode
2.37,16105,-1,Fallback mode
2.37,16633,-1,Fallback mode
2.37,17161,-1,Fallback mode
2.37,17690,-1,Fallback mode
2.37,18218,-1,Fallback mode
2.37,18747,-1,Fallback mode
2.37,19276,-1,Fallback mode
2.37,19804,-1,Fallback mode
2.37,20341,-1,Fallback mode
2.37,20863,-1,Fallback mode
2.37,21392,-1,Fallback mode
2.37,21927,-1,Fallback mode
2.37,22451,-1,Fallback mode
2.37,22994,-1,Fallback mode
2.37,23513,-1,Fallback mode
2.37,24043,-1,Fallback mode
2.37,24568,-1,Fallback mode
2.37,25096,-1,Fallback mode
2.37,25667,-1,Fallback mode
2.37,26149,-1,Fallback mode
2.37,26687,-1,Fallback mode
2.37,27306,-1,Fallback mode
2.37,27749,-1,Fallback mode
2.37,28261,-1,Fallback mode
2.37,28853,-1,Fallback mode
2.37,29318,-1,Fallback mode
2.37,29844,-1,Fallback mode
2.37,30373,-1,Fallback mode
2.37,30903,-1,Fallback mode
2.37,31430,41,Fallback mode
2.37,31959,41,Fallback mode
2.37,32487,41,Fallback mode
2.37,33016,41,Fallback mode
2.37,33544,41,Fallback mode
2.37,34073,41,Fallback mode
2.37,34601,41,Fallback mode
2.37,35130,41,Fallback mode
2.37,35658,41,Fallback mode
2.37,36187,41,Fallback mode
2.37,36715,41,Fallback mode
2.37,37244,41,Fallback mode
2.37,37772,41,Fallback mode
2.37,38301,41,Fallback mode
2.37,38829,41,Fallback mode
-1,0,-1,Error on SQL Server connection
-1,0,-1,Error on SQL Server connection
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.36,0,-1,Fallback mode
-1,0,-1,Error on SQL Server connection
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.36,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
2.37,0,42,Fallback mode
-1,0,-1,Error on SQL Server connection
-1,0,-1,Malformed or unreadable data
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
-1,0,-1,Error on SQL Server connection
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
-1,0,-1,Error on SQL Server connection
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,-1,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
2.35,0,43,Fallback mode
0.08,0,45,Falback mode ON
0.08,0,45,Fallback mode
0.08,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
0.09,0,45,Fallback mode
-1,0,-1,Error on SQL Server connection
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.18,0,-1,Fallback mode
3.08,0,-1,Fallback mode
3.08,0,-1,Fallback mode
3.08,0,-1,Fallback mode
3.03,0,-1,Fallback mode
2.95,0,-1,Fallback mode
2.98,0,-1,Fallback mode
2.13,0,-1,Fallback mode
2.15,0,-1,Fallback mode
2.90,0,-1,Fallback mode
2.98,0,-1,Fallback mode
2.41,0,-1,Fallback mode
2.37,0,-1,Fallback mode
2.52,0,-1,Fallback mode
3.04,0,-1,Fallback mode
3.04,0,-1,Fallback mode
3.08,0,-1,Fallback mode
3.10,0,-1,Fallback mode
3.13,0,-1,Fallback mode
3.08,0,-1,Fallback mode
3.04,0,-1,Fallback mode
3.02,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.05,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.04,0,-1,Fallback mode
3.06,0,-1,Fallback mode
3.06,0,-1,Fallback mode
3.07,0,-1,Fallback mode
3.11,0,-1,Fallback mode
3.13,0,-1,Fallback mode
3.22,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.23,0,-1,Fallback mode
3.10,0,-1,Fallback mode
3.09,0,-1,Fallback mode
3.05,0,-1,Fallback mode
3.04,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
3.03,0,-1,Fallback mode
